# Y-M-D_T_H:M:S       ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL   A1 E1
2025-03-23T11:22:17   131806  RSR        Pointing     Map(Az)     1310+323                  2024-S1-DX-1                        0.0     0      71.2  197.619433  32.345495  296.5  37.9  0 0
2025-03-23T11:29:26   131807  RSR        Calibration  Cal         PG1402+261                2024-S1-DX-1                        0.0     0      12.0  211.317458  25.926369  287.8  48.6  0 0
2025-03-23T11:30:44   131808  RSR        Science      Bs          PG1402+261                2024-S1-DX-1                        0.0     0     302.2  211.317458  25.926369  287.8  48.1  0 0
2025-03-23T11:37:57   131809  RSR        Science      Bs          PG1402+261                2024-S1-DX-1                        0.0     0     304.7  211.317458  25.926369  287.8  46.4  0 0
2025-03-23T11:45:18   131810  RSR        Science      Bs          PG1402+261                2024-S1-DX-1                        0.0     0     307.6  211.317458  25.926369  287.9  44.8  0 0
2025-03-23T11:54:22   131811  RSR        Calibration  Cal         PG1402+261                2024-S1-DX-1                        0.0     0      12.0  211.317458  25.926369  288.0  42.8  0 0
2025-03-23T11:55:50   131812  RSR        Science      Bs          PG1402+261                2024-S1-DX-1                        0.0     0     306.7  211.317458  25.926369  288.0  42.4  0 0
2025-03-23T12:03:33   131813  RSR        Science      Bs          PG1402+261                2024-S1-DX-1                        0.0     0      37.1  211.317458  25.926369  288.1  40.7  0 0
2025-03-23T12:05:53   131814  RSR        Pointing     Map(Az)     1310+323                  2024-S1-DX-1                        0.0     0      75.6  197.619433  32.345495  297.0  28.7  0 0
2025-03-29T09:55:56   132032  RSR        Pointing     Map(Az)     1159+292                  2024-S1-DX-1                        0.0     0      76.9  179.882641  29.245507  292.7  36.1  0 0
2025-03-29T10:02:39   132033  RSR        Pointing     Map(Az)     1159+292                  2024-S1-DX-1                        0.0     0      75.8  179.882641  29.245507  292.8  34.7  0 0
2025-03-29T10:49:00   132043  RSR        Pointing     Map(Az)     1159+292                  2024-S1-DX-1                        0.0     0      86.6  179.882641  29.245507  294.1  24.6  0 0
2025-03-29T10:55:10   132044  RSR        Pointing     Map(Az)     1159+292                  2024-S1-DX-1                        0.0     0      80.7  179.882641  29.245507  294.3  23.3  0 0
2025-03-29T11:02:50   132045  RSR        Calibration  Cal         PG1202+281                2024-S1-DX-1                        0.0     0      12.0  181.175417  27.903056  292.9  22.9  0 0
2025-03-29T11:04:43   132046  RSR        Science      Bs          PG1202+281                2024-S1-DX-1                        0.0     0     304.0  181.175417  27.903056  293.1  22.1  0 0
2025-03-29T11:12:19   132047  RSR        Science      Bs          PG1202+281                2024-S1-DX-1                        0.0     0     305.8  181.175417  27.903056  293.4  20.4  0 0
2025-03-29T11:20:41   132048  RSR        Science      Bs          PG1202+281                2024-S1-DX-1                        0.0     0     308.5  181.175417  27.903056  293.8  18.6  0 0
2025-03-29T11:29:58   132049  RSR        Pointing     Map(Az)     1159+292                  2024-S1-DX-1                        0.0     0      80.7  179.882641  29.245507  295.9  15.8  0 0
2025-06-05T06:37:15   136908  RSR        Pointing     Map(Az)     3c286                     2024-S1-DX-1                        0.0     0      72.6  202.784533  30.509155  294.2  41.1  0 0
2025-06-05T06:42:07   136909  RSR        Calibration  Cal         PG1425+267                2024-S1-DX-1                        0.0     0      12.0  216.898083  26.537114  289.0  52.8  0 0
2025-06-05T06:43:26   136910  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     300.8  216.898083  26.537114  288.9  52.2  0 0
2025-06-05T06:50:25   136911  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     301.6  216.898083  26.537114  288.8  50.7  0 0
2025-06-05T06:57:19   136912  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     307.6  216.898083  26.537114  288.8  49.1  0 0
2025-06-05T07:05:02   136913  RSR        Calibration  Cal         PG1425+267                2024-S1-DX-1                        0.0     0      12.0  216.898083  26.537114  288.7  47.4  0 0
2025-06-05T07:06:15   136914  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     301.1  216.898083  26.537114  288.7  47.1  0 0
2025-06-05T07:13:07   136915  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     302.5  216.898083  26.537114  288.7  45.6  0 0
2025-06-05T07:20:31   136916  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     303.1  216.898083  26.537114  288.8  43.9  0 0
2025-06-05T07:29:37   136917  RSR        Calibration  Cal         PG1425+267                2024-S1-DX-1                        0.0     0      12.0  216.898083  26.537114  288.9  42.2  0 0
2025-06-05T07:30:56   136918  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     301.7  216.898083  26.537114  288.9  41.6  0 0
2025-06-05T07:38:14   136919  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     305.1  216.898083  26.537114  289.0  39.9  0 0
2025-06-05T07:45:40   136920  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     304.5  216.898083  26.537114  289.1  38.3  0 0
2025-06-05T07:54:06   136921  RSR        Pointing     Map(Az)     3c286                     2024-S1-DX-1                        0.0     0      74.4  202.784533  30.509155  295.5  24.5  0 0
2025-06-05T08:00:03   136922  RSR        Pointing     Map(Az)     1506+426                  2024-S1-DX-1                        0.0     0      70.7  226.721008  42.656399  310.8  42.1  0 0
2025-06-05T08:03:46   136923  RSR        Pointing     Map(Az)     1506+426                  2024-S1-DX-1                        0.0     0      69.8  226.721008  42.656399  310.6  41.4  0 0
2025-06-05T08:07:30   136924  RSR        Calibration  Cal         PG1427+480                2024-S1-DX-1                        0.0     0      12.0  217.429458  47.790611  315.2  33.4  0 0
2025-06-05T08:08:49   136925  RSR        Science      Bs          PG1427+480                2024-S1-DX-1                        0.0     0     304.6  217.429458  47.790611  315.2  33.2  0 0
2025-06-05T08:16:01   136926  RSR        Science      Bs          PG1427+480                2024-S1-DX-1                        0.0     0     302.2  217.429458  47.790611  315.0  32.0  0 0
2025-06-05T08:23:22   136927  RSR        Science      Bs          PG1427+480                2024-S1-DX-1                        0.0     0     304.0  217.429458  47.790611  314.8  30.7  0 0
2025-06-05T08:33:06   136928  RSR        Pointing     Map(Az)     1506+426                  2024-S1-DX-1                        0.0     0      70.3  226.721008  42.656399  309.4  36.1  0 0
2025-07-05T05:14:34   138018  RSR        Pointing     Map(Az)     3c286                     2024-S1-DX-1                        0.0     0      70.2  202.784533  30.509155  294.4  33.4  0 0
2025-07-05T05:19:33   138019  RSR        Calibration  Cal         PG1425+267                2024-S1-DX-1                        0.0     0      12.0  216.898083  26.537114  288.8  44.9  0 0
2025-07-05T05:20:56   138020  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     301.2  216.898083  26.537114  288.8  44.3  0 0
2025-07-05T05:28:14   138021  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     304.2  216.898083  26.537114  288.8  42.6  0 0
2025-07-05T05:35:33   138022  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     305.6  216.898083  26.537114  288.9  41.0  0 0
2025-07-05T05:44:51   138023  RSR        Calibration  Cal         PG1425+267                2024-S1-DX-1                        0.0     0      12.0  216.898083  26.537114  289.1  39.2  0 0
2025-07-05T05:46:12   138024  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     307.2  216.898083  26.537114  289.1  38.6  0 0
2025-07-05T05:53:46   138025  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     304.2  216.898083  26.537114  289.3  36.9  0 0
2025-07-05T06:01:12   138026  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     302.0  216.898083  26.537114  289.5  35.3  0 0
2025-07-05T06:10:51   138027  RSR        Calibration  Cal         PG1425+267                2024-S1-DX-1                        0.0     0      12.0  216.898083  26.537114  289.7  33.1  0 0
2025-07-05T06:12:11   138028  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     302.9  216.898083  26.537114  289.8  32.8  0 0
2025-07-05T06:19:40   138029  RSR        Science      Bs          PG1425+267                2024-S1-DX-1                        0.0     0     303.0  216.898083  26.537114  290.0  31.1  0 0
2025-07-08T05:36:37   138199  RSR        Pointing     Map(Az)     3c286                     2024-S1-DX-1                        0.0     0      81.1  202.784533  30.509155  295.3  26.2  0 0
2025-07-08T05:43:03   138200  RSR        Pointing     Map(Az)     3c286                     2024-S1-DX-1                        0.0     0      83.0  202.784533  30.509155  295.5  24.8  0 0
